StateCode,NCESSCH,PCT_BACH,PCT_ADVC,P_EXPLT6,P_EXPGT5,MEAN_EXP,M_BSALT6,M_BSAGT5,M_BSAL
4,40237000166,67.9,32.1,46.4,53.6,10,32551,42651,37962
4,40237000167,71.8,28.2,43.6,56.4,7,32615,38253,35795
4,40237001360,57.7,42.3,42.3,57.7,9,33825,41881,38473
4,40237002384,63.2,36.8,36.8,63.2,12,32048,43525,39296
4,40240000014,72.7,27.3,50,50,7,35169,44831,40000
4,40240000017,60.5,39.5,55.3,44.7,7,36647,48323,41870
4,40240000036,74.3,25.7,48.6,51.4,8,38429,48236,43472
4,40240000037,81,19,54.8,45.2,6,35934,45166,40110
4,40240000171,62.9,37.1,40,60,9,38488,50248,45544
4,40240001087,60,40,30,70,10,35504,46859,43452
4,40240001976,63.9,36.1,47.2,52.8,8,36043,47189,41925
4,40240002424,74.3,25.7,40,60,8,37324,45840,42433
4,40240002425,60.5,39.5,50,50,6,34880,48809,41845
4,40243000174,64.2,35.8,34,66,8,37951,44625,42358
4,40243000176,57.1,42.9,22.4,77.6,11,35498,46387,43943
4,40243000177,84.9,15.1,52.8,47.2,6,37641,43556,40431
4,40243000178,65.9,34.1,56.8,43.2,8,36687,52522,43525
4,40243000179,64.7,35.3,47.1,52.9,10,35757,50044,43320
4,40243000180,52.4,47.6,40.5,59.5,11,36286,48361,43474
4,40243000181,65.1,34.9,48.8,51.2,8,36915,49590,43400
4,40243001704,51.2,48.8,30.2,69.8,9,39386,50419,47084
4,40243001998,-1,-1,0,100,14,-2,49660,49660
4,40243001999,55.8,42.3,71.2,28.8,5,38454,45414,40461
4,40248001210,60,-1,-1,60,9,-1,39650,38605
4,40248001536,-1,0,-1,-1,-1,-1,-1,-1
4,40249000183,-1,-1,0,100,25,-2,46418,46418
4,40253000184,-1,0,-1,0,-1,-1,-2,-1
4,40253000185,43.3,56.7,20,80,14,31954,43354,41074
4,40253000186,93.8,-1,31.3,68.8,10,32887,37697,36194
4,40253000187,50,50,21.4,78.6,16,38660,49249,46980
4,40253000190,77.3,22.7,40.9,59.1,11,33563,40918,37909
4,40253000191,75,25,41.7,58.3,10,32318,39068,36255
4,40253000192,61.5,38.5,30.8,69.2,11,33399,39083,37334
4,40253000193,88.9,-1,-1,88.9,14,-1,40213,39668
4,40253000194,57.1,42.9,33.3,66.7,12,34589,43919,40809
4,40253001291,0,-1,-1,0,-1,-1,-2,-1
4,40260000195,50,50,-1,75,15,-1,34708,34119
4,40260000196,50,50,0,100,18,-2,38913,38913
4,40260001292,77.8,-1,-1,77.8,9,-1,37457,36267
4,40269000197,73.6,26.4,64.2,35.8,6,41415,58989,47715
4,40269000198,61,37.8,46.3,53.7,8,42416,51230,47146
4,40269000199,71.7,28.3,52.8,47.2,7,41164,51644,46107
4,40269000200,66.7,33.3,53.8,46.2,8,40218,54873,46982
4,40269000201,81.8,18.2,56.4,43.6,7,40306,51665,45262
4,40269001462,71.7,28.3,39.1,60.9,8,43112,50958,47887
4,40269002126,74.5,25.5,56.9,43.1,7,42176,56472,48343
4,40269002340,71.4,28.6,53.1,46.9,7,44572,54102,49045
4,40269002401,72.3,27.7,66,34,5,41778,49210,44308
4,40269002402,69.4,30.6,52.8,47.2,5,41473,47208,44181
4,40269002481,73.3,26.7,64.4,35.6,5,42559,51073,45586
4,40269002482,65.1,34.9,44.2,55.8,7,40180,47703,44379
4,40269002649,64.1,35.9,71.8,28.2,5,37951,50818,41580
4,40269002655,77.8,22.2,75,25,4,37992,45776,39938
4,40269002679,67.6,32.4,52.9,47.1,7,43211,51864,47283
4,40269002684,57.1,42.9,42.9,57.1,7,39240,48836,44723
4,40269003124,75.5,24.5,59.2,40.8,6,42241,52044,46243
4,40269003125,75.5,24.5,60.4,39.6,6,43158,52632,46912
4,40269003126,58.6,41.4,56.8,43.2,7,41098,51745,45702
4,40274000203,60,40,0,100,9,-2,53598,53598
4,40274001625,66.7,-1,0,100,13,-2,56184,56184
4,40276000204,60,40,40,60,10,32250,37083,35150
4,40279000207,90.9,-1,36.4,63.6,11,32586,38759,36514
4,40279000208,50,50,66.7,-1,8,33468,-1,35105
4,40279000209,86.7,-1,46.7,53.3,10,31848,37630,34932
4,40279001060,80,20,30,70,12,33412,39474,37655
4,40286000211,44,56,12,88,12,30937,43281,41799
4,40286000212,46.2,53.8,21.5,78.5,10,30132,41707,39214
4,40286000214,35,65,15,85,11,31672,46242,44056
4,40286000215,38.1,61.9,22.2,77.8,10,32267,42647,40340
4,40286000216,55.8,44.2,27.9,72.1,9,26114,34825,32394
4,40286000217,48.4,51.6,22.6,77.4,9,31045,39892,37894
4,40286000218,37.5,62.5,12.5,87.5,11,32577,41846,40688
4,40286000219,41.2,58.8,41.2,58.8,8,32536,41225,37647
4,40286000220,53.8,46.2,23.1,76.9,10,31997,43757,41043
4,40286000222,30.8,69.2,15.4,84.6,12,30844,46114,43765
4,40286000224,69.2,30.8,30.8,69.2,9,31535,42779,39319
4,40286000225,35.7,64.3,14.3,85.7,10,32382,39808,38747
4,40286001157,0,-1,0,-1,-1,-2,-1,-1
4,40286001158,-1,60,80,-1,3,32142,-1,32811
4,40286001363,58.1,41.9,16.1,83.9,11,31391,42883,41030
4,40286001364,40,60,26.7,73.3,10,29953,45100,41061
4,40286001463,32.8,67.2,24.1,75.9,10,31092,44821,41507
4,40286001464,49,51,35.3,64.7,9,32423,43150,39364
4,40286002097,42.9,57.1,42.9,57.1,8,32714,41893,37960
4,40292000227,70,30,65,35,5,34411,40207,36440
4,40292000228,61.1,38.9,66.7,33.3,5,34141,38922,35735
4,40292002210,69.2,30.8,82.7,17.3,4,34350,38300,35034
4,40292002436,85.7,14.3,78.6,21.4,3,34463,36282,34853
4,40292002559,88.9,11.1,69.4,30.6,4,34036,37609,35128
4,40292002637,62.5,37.5,83.3,16.7,3,35902,41825,36889
4,40301000231,61.6,38.4,50,50,9,34343,47652,40998
4,40301000232,55.6,44.4,46.7,53.3,8,34007,46103,40458
4,40301000233,63,37,44.4,55.6,11,34210,50556,43291
4,40301000236,59.3,40.7,18.5,81.5,13,32675,47728,44940
4,40301000237,55.6,44.4,30.6,69.4,11,32917,46739,42516
4,40301001000,59.3,40.7,25.9,74.1,12,33669,45196,42208
4,40301001033,50,50,26.9,73.1,13,32791,49298,44854
4,40301001489,73.1,23.1,38.5,61.5,10,32413,47122,41465
4,40301001611,0,-1,-1,0,-1,-1,-2,-1
4,40301002065,60,-1,-1,60,7,-1,44865,40053
4,40304000038,48.7,51.3,30.8,69.2,11,34790,44976,41842
4,40304000239,41.4,58.6,24.1,75.9,10,34905,43343,41306
4,40304000639,54.5,45.5,21.2,78.8,9,35438,40950,39781
4,40304001296,51.9,48.1,25.9,74.1,13,34307,47047,43744
4,40306000240,64.5,35.5,64.5,35.5,7,38256,48592,41924
